Category,country_name,region_name,hoursPerDayCombined,population,GDP_percapita,uncertaintyCombined_mod
Deliberate neural restructuring,Afghanistan,Southern Asia,1.62,36296111,2515.55,0.3218396355918361
Deliberate neural restructuring,Afghanistan,Southern Asia,1.62,36296111,2515.55,0.3218396355918361
Deliberate neural restructuring,Afghanistan,Southern Asia,1.62,36296111,2515.55,0.3218396355918361
Deliberate neural restructuring,Afghanistan,Southern Asia,1.62,36296111,2515.55,0.3218396355918361
Deliberate neural restructuring,Afghanistan,Southern Asia,1.62,36296111,2515.55,0.3218396355918361
Deliberate neural restructuring,Afghanistan,Southern Asia,1.62,36296111,2515.55,0.3218396355918361
Deliberate neural restructuring,Afghanistan,Southern Asia,1.62,36296111,2515.55,0.3218396355918361
Deliberate neural restructuring,Afghanistan,Southern Asia,1.62,36296111,2515.55,0.3218396355918361
Deliberate neural restructuring,Afghanistan,Southern Asia,1.62,36296111,2515.55,0.3218396355918361
Deliberate neural restructuring,Afghanistan,Southern Asia,1.62,36296111,2515.55,0.3218396355918361
Deliberate neural restructuring,Afghanistan,Southern Asia,1.62,36296111,2515.55,0.3218396355918361
Deliberate neural restructuring,Afghanistan,Southern Asia,1.62,36296111,2515.55,0.3218396355918361
Deliberate neural restructuring,Afghanistan,Southern Asia,1.62,36296111,2515.55,0.3218396355918361
Deliberate neural restructuring,Afghanistan,Southern Asia,1.62,36296111,2515.55,0.3218396355918361
Deliberate neural restructuring,Afghanistan,Southern Asia,1.62,36296111,2515.55,0.3218396355918361
Deliberate neural restructuring,Afghanistan,Southern Asia,1.62,36296111,2515.55,0.3218396355918361
Deliberate neural restructuring,Afghanistan,Southern Asia,1.62,36296111,2515.55,0.3218396355918361
Deliberate neural restructuring,Afghanistan,Southern Asia,1.62,36296111,2515.55,0.3218396355918361
Deliberate neural restructuring,Afghanistan,Southern Asia,1.62,36296111,2515.55,0.3218396355918361
Deliberate neural restructuring,Afghanistan,Southern Asia,1.62,36296111,2515.55,0.3218396355918361
Deliberate neural restructuring,Afghanistan,Southern Asia,1.62,36296111,2515.55,0.3218396355918361
Deliberate neural restructuring,Afghanistan,Southern Asia,1.62,36296111,2515.55,0.3218396355918361
Deliberate neural restructuring,Afghanistan,Southern Asia,1.62,36296111,2515.55,0.3218396355918361
Deliberate neural restructuring,Afghanistan,Southern Asia,1.62,36296111,2515.55,0.3218396355918361
Experience oriented,Afghanistan,Southern Asia,6.32,36296111,2515.55,1.1822136273190929
Experience oriented,Afghanistan,Southern Asia,6.32,36296111,2515.55,1.1822136273190929
Experience oriented,Afghanistan,Southern Asia,6.32,36296111,2515.55,1.1822136273190929
Experience oriented,Afghanistan,Southern Asia,6.32,36296111,2515.55,1.1822136273190929
Experience oriented,Afghanistan,Southern Asia,6.32,36296111,2515.55,1.1822136273190929
Experience oriented,Afghanistan,Southern Asia,6.32,36296111,2515.55,1.1822136273190929
Experience oriented,Afghanistan,Southern Asia,6.32,36296111,2515.55,1.1822136273190929
Experience oriented,Afghanistan,Southern Asia,6.32,36296111,2515.55,1.1822136273190929
Experience oriented,Afghanistan,Southern Asia,6.32,36296111,2515.55,1.1822136273190929
Experience oriented,Afghanistan,Southern Asia,6.32,36296111,2515.55,1.1822136273190929
Experience oriented,Afghanistan,Southern Asia,6.32,36296111,2515.55,1.1822136273190929
Experience oriented,Afghanistan,Southern Asia,6.32,36296111,2515.55,1.1822136273190929
Experience oriented,Afghanistan,Southern Asia,6.32,36296111,2515.55,1.1822136273190929
Experience oriented,Afghanistan,Southern Asia,6.32,36296111,2515.55,1.1822136273190929
Experience oriented,Afghanistan,Southern Asia,6.32,36296111,2515.55,1.1822136273190929
Experience oriented,Afghanistan,Southern Asia,6.32,36296111,2515.55,1.1822136273190929
Experience oriented,Afghanistan,Southern Asia,6.32,36296111,2515.55,1.1822136273190929
Experience oriented,Afghanistan,Southern Asia,6.32,36296111,2515.55,1.1822136273190929
Experience oriented,Afghanistan,Southern Asia,6.32,36296111,2515.55,1.1822136273190929
Experience oriented,Afghanistan,Southern Asia,6.32,36296111,2515.55,1.1822136273190929
Experience oriented,Afghanistan,Southern Asia,6.32,36296111,2515.55,1.1822136273190929
Experience oriented,Afghanistan,Southern Asia,6.32,36296111,2515.55,1.1822136273190929
Experience oriented,Afghanistan,Southern Asia,6.32,36296111,2515.55,1.1822136273190929
Experience oriented,Afghanistan,Southern Asia,6.32,36296111,2515.55,1.1822136273190929
Food provision,Afghanistan,Southern Asia,2.12,36296111,2515.55,0.24360922487153086
Food provision,Afghanistan,Southern Asia,2.12,36296111,2515.55,0.24360922487153086
Food provision,Afghanistan,Southern Asia,2.12,36296111,2515.55,0.24360922487153086
Food provision,Afghanistan,Southern Asia,2.12,36296111,2515.55,0.24360922487153086
Food provision,Afghanistan,Southern Asia,2.12,36296111,2515.55,0.24360922487153086
Food provision,Afghanistan,Southern Asia,2.12,36296111,2515.55,0.24360922487153086
Food provision,Afghanistan,Southern Asia,2.12,36296111,2515.55,0.24360922487153086
Food provision,Afghanistan,Southern Asia,2.12,36296111,2515.55,0.24360922487153086
Food provision,Afghanistan,Southern Asia,2.12,36296111,2515.55,0.24360922487153086
Food provision,Afghanistan,Southern Asia,2.12,36296111,2515.55,0.24360922487153086
Food provision,Afghanistan,Southern Asia,2.12,36296111,2515.55,0.24360922487153086
Food provision,Afghanistan,Southern Asia,2.12,36296111,2515.55,0.24360922487153086
Food provision,Afghanistan,Southern Asia,2.12,36296111,2515.55,0.24360922487153086
Food provision,Afghanistan,Southern Asia,2.12,36296111,2515.55,0.24360922487153086
Food provision,Afghanistan,Southern Asia,2.12,36296111,2515.55,0.24360922487153086
Food provision,Afghanistan,Southern Asia,2.12,36296111,2515.55,0.24360922487153086
Food provision,Afghanistan,Southern Asia,2.12,36296111,2515.55,0.24360922487153086
Food provision,Afghanistan,Southern Asia,2.12,36296111,2515.55,0.24360922487153086
Food provision,Afghanistan,Southern Asia,2.12,36296111,2515.55,0.24360922487153086
Food provision,Afghanistan,Southern Asia,2.12,36296111,2515.55,0.24360922487153086
Food provision,Afghanistan,Southern Asia,2.12,36296111,2515.55,0.24360922487153086
Food provision,Afghanistan,Southern Asia,2.12,36296111,2515.55,0.24360922487153086
Food provision,Afghanistan,Southern Asia,2.12,36296111,2515.55,0.24360922487153086
