Category,country_name,region_name,hoursPerDayCombined,population,GDP_percapita,uncertaintyCombined_mod,larger_region_name
Deliberate neural restructuring,Afghanistan,Southern Asia,1.62,36296111,2515.55,0.3218396355918361,Asia
Experience oriented,Afghanistan,Southern Asia,6.32,36296111,2515.55,1.1822136273190929,Asia
Food provision,Afghanistan,Southern Asia,2.12,36296111,2515.55,0.2436092248715308,Asia
Maintenance of surroundings,Afghanistan,Southern Asia,0.68,36296111,2515.55,0.1810142890673382,Asia
Nonfood provision,Afghanistan,Southern Asia,0.06,36296111,2515.55,0.0024889263615189,Asia
Organization,Afghanistan,Southern Asia,1.74,36296111,2515.55,0.2464331035561558,Asia
Somatic maintenance,Afghanistan,Southern Asia,11.02,36296111,2515.55,0.9863219228380382,Asia
Technosphere modification,Afghanistan,Southern Asia,0.45,36296111,2515.55,0.0273522448610944,Asia
Deliberate neural restructuring,Albania,Southern Europe,1.1,2896307,13088.31,0.0025489556006793,Europe
Experience oriented,Albania,Southern Europe,6.8500000000000005,2896307,13088.31,0.0132000297634528,Europe
Food provision,Albania,Southern Europe,1.96,2896307,13088.31,0.0253472060528597,Europe
Maintenance of surroundings,Albania,Southern Europe,0.84,2896307,13088.31,0.0019102953562017,Europe
Nonfood provision,Albania,Southern Europe,0.09,2896307,13088.31,0.0003684501137772,Europe
Organization,Albania,Southern Europe,1.83,2896307,13088.31,0.0087770601691346,Europe
Somatic maintenance,Albania,Southern Europe,10.62,2896307,13088.31,0.1705406611603561,Europe
Technosphere modification,Albania,Southern Europe,0.7100000000000001,2896307,13088.31,0.0037002087373202,Europe
Deliberate neural restructuring,Algeria,Northern Africa,1.42,41389174,11644.06,0.0040170064706431,Africa
Experience oriented,Algeria,Northern Africa,7.390000000000001,41389174,11644.06,0.042033899878655,Africa
Food provision,Algeria,Northern Africa,1.2999999999999998,41389174,11644.06,0.0121155405514999,Africa
Maintenance of surroundings,Algeria,Northern Africa,0.76,41389174,11644.06,0.0101187009014956,Africa
Nonfood provision,Algeria,Northern Africa,0.07,41389174,11644.06,7.039627501314332e-05,Africa
Organization,Algeria,Northern Africa,1.58,41389174,11644.06,0.0123260310774768,Africa
Somatic maintenance,Algeria,Northern Africa,10.96,41389174,11644.06,0.585806533739324,Africa
Technosphere modification,Algeria,Northern Africa,0.51,41389174,11644.06,0.0095962596777519,Africa
Deliberate neural restructuring,Angola,Middle Africa,2.39,31825299,7681.96,0.3540090411598675,Africa
Experience oriented,Angola,Middle Africa,5.43,31825299,7681.96,1.1940850933355414,Africa
Food provision,Angola,Middle Africa,1.89,31825299,7681.96,0.5745784415181214,Africa
Maintenance of surroundings,Angola,Middle Africa,0.72,31825299,7681.96,0.2001208693806697,Africa
Nonfood provision,Angola,Middle Africa,0.18,31825299,7681.96,0.0183708206248169,Africa
Organization,Angola,Middle Africa,1.99,31825299,7681.96,0.3546176284891226,Africa
Somatic maintenance,Angola,Middle Africa,10.93,31825299,7681.96,1.298723351948884,Africa
Technosphere modification,Angola,Middle Africa,0.47,31825299,7681.96,0.1441319588704239,Africa
Deliberate neural restructuring,Antigua and Barbuda,Caribbean,1.45,97115,20190.63,0.3509884761906235,America
Experience oriented,Antigua and Barbuda,Caribbean,6.07,97115,20190.63,3.627329256609568,America
Food provision,Antigua and Barbuda,Caribbean,1.81,97115,20190.63,0.2505704445049446,America
Maintenance of surroundings,Antigua and Barbuda,Caribbean,1.3,97115,20190.63,0.2103782043481173,America
Nonfood provision,Antigua and Barbuda,Caribbean,0.11,97115,20190.63,0.0055898138979939,America
Organization,Antigua and Barbuda,Caribbean,2.16,97115,20190.63,0.6210651982564246,America
Somatic maintenance,Antigua and Barbuda,Caribbean,10.33,97115,20190.63,4.921168632266722,America
Technosphere modification,Antigua and Barbuda,Caribbean,0.76,97115,20190.63,0.0299020332796977,America
Deliberate neural restructuring,Argentina,South America,1.22,44780675,23597.12,0.3318387585655065,America
Experience oriented,Argentina,South America,7.14,44780675,23597.12,1.2354060551820163,America
Food provision,Argentina,South America,0.83,44780675,23597.12,0.1989551784251559,America
Maintenance of surroundings,Argentina,South America,0.73,44780675,23597.12,0.2058731061296564,America
Nonfood provision,Argentina,South America,0.06,44780675,23597.12,0.0024992020262002,America
Organization,Argentina,South America,2.87,44780675,23597.12,0.4070408269031628,America
Somatic maintenance,Argentina,South America,10.27,44780675,23597.12,1.8788094124816184,America
Technosphere modification,Argentina,South America,0.9000000000000001,44780675,23597.12,0.081622466054317,America
Deliberate neural restructuring,Armenia,Western Asia,1.46,2925559,11974.03,0.3232881829989931,Asia
Experience oriented,Armenia,Western Asia,7.38,2925559,11974.03,1.219803277255405,Asia
Food provision,Armenia,Western Asia,1.42,2925559,11974.03,0.1905838814741054,Asia
Maintenance of surroundings,Armenia,Western Asia,0.82,2925559,11974.03,0.1880094540822351,Asia
Nonfood provision,Armenia,Western Asia,0.12,2925559,11974.03,0.0023963919997362,Asia
Organization,Armenia,Western Asia,1.72,2925559,11974.03,0.1622855117183348,Asia
Somatic maintenance,Armenia,Western Asia,10.73,2925559,11974.03,1.3411405521680475,Asia
Technosphere modification,Armenia,Western Asia,0.36,2925559,11974.03,0.0250250023633787,Asia
Deliberate neural restructuring,Aruba,Caribbean,1.45,101665,36893.48,0.3463365332151254,America
Experience oriented,Aruba,Caribbean,6.13,101665,36893.48,3.6271412513820382,America
Food provision,Aruba,Caribbean,1.64,101665,36893.48,0.2392641856774785,America
